LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
Kaggle,,,,,,,Very useful,,,,,,,,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Somewhat useful,,Very useful,,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,,,Somewhat useful,,Very useful,Very useful
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful
"Arxiv,College/University,Company internal community,Conferences,Textbook",Somewhat useful,,Very useful,Very useful,Very useful,,,,,,,,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Online courses,Textbook",,Very useful,,,Very useful,,,,,,Somewhat useful,,,,Somewhat useful,,,
"Arxiv,Blogs,Conferences,Friends network,Online courses,Textbook",Somewhat useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,,,
"Blogs,Online courses",,Somewhat useful,,,,,,,,,Somewhat useful,,,,,,,
"Kaggle,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,Very useful,,Very useful,,,Very useful,,,,Very useful
"College/University,Kaggle,Online courses,Other",,,Very useful,,,,Very useful,,,,Somewhat useful,,,,,,,
,,,,,,,,,,,,,,,,,,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
"Kaggle,Personal Projects,YouTube Videos",,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos,Other",Very useful,Very useful,,,Very useful,Somewhat useful,Very useful,,,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Somewhat useful,Somewhat useful,,,,,,,Very useful,Very useful,Very useful,,Very useful,,,,Very useful
"College/University,Friends network,Kaggle,Online courses,Personal Projects",,,Very useful,,,Somewhat useful,Very useful,,,,Very useful,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Conferences,Official documentation,Stack Overflow Q&A,Textbook",Somewhat useful,,,,Somewhat useful,,,,,Somewhat useful,,,,Very useful,Somewhat useful,,,
"Arxiv,Blogs,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,,Very useful,,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Personal Projects",,,Somewhat useful,,,,Somewhat useful,,,,,Somewhat useful,,,,,,
Arxiv,Somewhat useful,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Online courses,Textbook",,Very useful,,,,,,,,,Very useful,,,,Very useful,,,
"Arxiv,Blogs,College/University,Company internal community,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A",Very useful,Somewhat useful,Somewhat useful,Very useful,,Very useful,Somewhat useful,,,,,Somewhat useful,,Very useful,,,,
"Conferences,Kaggle,Online courses,Personal Projects,Textbook,Trade book,Tutoring/mentoring,YouTube Videos",,,,,Very useful,,Very useful,,,,Somewhat useful,Somewhat useful,,,Very useful,Somewhat useful,Very useful,Somewhat useful
"Blogs,College/University,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,Somewhat useful,,,,,,,,Somewhat useful,Very useful,,Very useful,,,,Very useful
Online courses,,,,,,,,,,,Somewhat useful,,,,,,,
"Conferences,Kaggle,Online courses",,,,,Somewhat useful,,Somewhat useful,,,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Online courses,Textbook,Tutoring/mentoring",,Somewhat useful,Very useful,,,,,,,,Somewhat useful,,,,Very useful,,Very useful,
,,,,,,,,,,,,,,,,,,
"Arxiv,Non-Kaggle online communities",Very useful,,,,,,,,Very useful,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,,Very useful
"Blogs,Conferences,Kaggle,YouTube Videos",,Somewhat useful,,,Very useful,,Somewhat useful,,,,,,,,,,,Somewhat useful
"Kaggle,Online courses,Personal Projects,Tutoring/mentoring,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,Very useful,,,,,Somewhat useful,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,Very useful,,,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,,Somewhat useful,,,,Somewhat useful
"Blogs,Conferences,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,Very useful,,,Somewhat useful,Very useful,Somewhat useful,,,,,Very useful,Somewhat useful,Very useful,Very useful,,,
"Blogs,Conferences,Kaggle,Online courses,Tutoring/mentoring,YouTube Videos",,Very useful,,,Somewhat useful,,Very useful,,,,Very useful,,,,,,Very useful,Very useful
"Kaggle,Official documentation,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Very useful,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Conferences,YouTube Videos",Somewhat useful,,,,Somewhat useful,,,,,,,,,,,,,Somewhat useful
"Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,,,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Textbook",Very useful,Very useful,,,,,Very useful,,,,Very useful,Somewhat useful,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,Very useful,,,Very useful,Somewhat useful,,Very useful,Very useful,Somewhat useful,Very useful,,Very useful,,,,Very useful
"Online courses,Podcasts,Stack Overflow Q&A",,,,,,,,,,,Very useful,,Very useful,Very useful,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Conferences,Textbook",Very useful,,,,Very useful,,,,,,,,,,Very useful,,,
"Kaggle,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,Somewhat useful,Very useful,Somewhat useful,,,Very useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Personal Projects",Very useful,Very useful,,,,,,,,,,Very useful,,,,,,
"Arxiv,Conferences,YouTube Videos",Somewhat useful,,,,Somewhat useful,,,,,,,,,,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Official documentation,Personal Projects,Textbook,YouTube Videos",,,,,,,Very useful,,,Very useful,,Somewhat useful,,,Very useful,,,Somewhat useful
"Blogs,Kaggle",,Somewhat useful,,,,,Very useful,,,,,,,,,,,
"Blogs,College/University,Conferences,Friends network,Official documentation,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Very useful,,Somewhat useful,Very useful,,,,Somewhat useful,,,Somewhat useful,Very useful,Very useful,,,Very useful
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Textbook,YouTube Videos",,Very useful,,,,,Very useful,,Very useful,,Very useful,,,,Very useful,,,Very useful
"Arxiv,College/University,Conferences,Friends network,Kaggle,Online courses,Stack Overflow Q&A",Somewhat useful,,Very useful,,Somewhat useful,Very useful,Very useful,,,,Somewhat useful,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,,,,,,Somewhat useful
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Blogs,Kaggle,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,,,,,,Somewhat useful
"Friends network,Tutoring/mentoring,YouTube Videos",,,,,,Very useful,,,,,,,,,,,Very useful,Somewhat useful
"College/University,Kaggle,Online courses",,,Very useful,,,,Very useful,,,,Very useful,,,,,,,
"Blogs,College/University,Friends network,Kaggle,Non-Kaggle online communities,Online courses,YouTube Videos",,Somewhat useful,Somewhat useful,,,Somewhat useful,Not Useful,,Very useful,,Very useful,,,,,,,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Conferences,Friends network,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book,Tutoring/mentoring,YouTube Videos",Very useful,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Very useful,,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful
"Kaggle,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,,,,,,Very useful,,,,Very useful,Somewhat useful,Somewhat useful,,Somewhat useful,,,Somewhat useful
"Kaggle,Online courses,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Kaggle,Newsletters,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,Very useful,,,,Very useful,Not Useful,,,,Very useful,,Somewhat useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Online courses,Stack Overflow Q&A",,Somewhat useful,,,Not Useful,,,,,,Very useful,,,Somewhat useful,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Kaggle,Newsletters,Personal Projects",,,,,,,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,College/University,Kaggle,Official documentation,Online courses,Personal Projects",Very useful,,Very useful,,,,Somewhat useful,,,Very useful,Very useful,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,,,,,,,,,,Very useful,Very useful,,Very useful,Very useful,,,
"Arxiv,Blogs,College/University,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Very useful,,,,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,,,Somewhat useful
"College/University,Conferences,Personal Projects,Textbook,YouTube Videos",,,Very useful,,Somewhat useful,,,,,,,Somewhat useful,,,Very useful,,,Very useful
"Online courses,Personal Projects",,,,,,,,,,,Very useful,Very useful,,,,,,
"Blogs,College/University,Kaggle,Online courses,Textbook,YouTube Videos",,Very useful,Very useful,,,,Very useful,,,,Somewhat useful,,,,Very useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Newsletters,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Somewhat useful,Somewhat useful,,,Very useful,,,Somewhat useful,,,,Somewhat useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Arxiv,Kaggle,Online courses,Podcasts,Textbook,YouTube Videos",Somewhat useful,,,,,,Somewhat useful,,,,Very useful,,Somewhat useful,,Very useful,,,Very useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Conferences,Friends network,Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,Very useful,,Somewhat useful,Very useful,Somewhat useful,,,Somewhat useful,,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos,Other",,,,,,,Somewhat useful,,,,Very useful,,,Very useful,,,,Somewhat useful
"College/University,Friends network,Personal Projects",,,Somewhat useful,,,Somewhat useful,,,,,,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook",,,Somewhat useful,,,,Very useful,,,,,Very useful,,Very useful,Somewhat useful,,,
"Company internal community,Official documentation,Online courses,Personal Projects,Textbook",,,,Very useful,,,,,,Very useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,,,Very useful,,,,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,,,,Somewhat useful
"Arxiv,Blogs,Online courses,Stack Overflow Q&A",Very useful,Very useful,,,,,,,,,Very useful,,,Very useful,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,,Somewhat useful,,Very useful,Very useful,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"College/University,Online courses,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,,,,,Very useful,,,Somewhat useful,,,,Somewhat useful
"Blogs,Company internal community,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,Very useful,,Somewhat useful,,,Very useful,,,,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Company internal community,Conferences,Friends network,Kaggle,Newsletters,Personal Projects,Textbook,YouTube Videos",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,,,,Very useful,,,Somewhat useful,,,Somewhat useful
Stack Overflow Q&A,,,,,,,,,,,,,,Somewhat useful,,,,
"Arxiv,College/University,Conferences,Friends network,Podcasts,Textbook",Very useful,,Very useful,,Somewhat useful,Very useful,,,,,,,Somewhat useful,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,Textbook,Trade book,Other",,Very useful,,,,,Very useful,,,Very useful,Very useful,,Somewhat useful,Very useful,Very useful,Very useful,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,,Very useful,Not Useful,,,Very useful,Very useful,Very useful,Not Useful,Very useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Stack Overflow Q&A",,Somewhat useful,,,,,Very useful,,,,,,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Textbook,,,,,,,,,,,,,,,Somewhat useful,,,
"Arxiv,Conferences,Friends network,Kaggle,Podcasts,Stack Overflow Q&A",Somewhat useful,,,,Not Useful,Somewhat useful,Somewhat useful,,,,,,Somewhat useful,Not Useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Official documentation,Personal Projects,YouTube Videos",,Somewhat useful,Very useful,,,,,,,Very useful,,Very useful,,,,,,Very useful
"Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Somewhat useful,,,Very useful,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,,,Very useful,,,,Very useful,Very useful,,,,,,Very useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Newsletters,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,,,,,,Very useful,Somewhat useful,,,,Very useful,Somewhat useful,Very useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Somewhat useful,,,,,Very useful,,,,Very useful,Very useful,,Somewhat useful,Very useful,,,
"Arxiv,College/University,Conferences,Textbook,Other",Very useful,,Very useful,,Very useful,,,,,,,,,,Very useful,,,
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
Blogs,,Somewhat useful,,,,,,,,,,,,,,,,
"Blogs,Conferences,Friends network,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,,,Somewhat useful,Somewhat useful,,,,Somewhat useful,Very useful,Somewhat useful,,Very useful,Somewhat useful,,,
"Arxiv,Kaggle,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",Very useful,,,,,,Very useful,,,Somewhat useful,Somewhat useful,Very useful,,,Very useful,,,Somewhat useful
"Kaggle,Online courses",,,,,,,Somewhat useful,,,,Very useful,,,,,,,
"Personal Projects,Textbook",,,,,,,,,,,,Very useful,,,Very useful,,,
"Kaggle,Online courses,Textbook",,,,,,,Very useful,,,,Very useful,,,,Somewhat useful,,,
"Arxiv,Blogs,College/University,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,Very useful,Very useful,,,Very useful,Very useful,Very useful,,Somewhat useful,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Blogs,Stack Overflow Q&A",,,,,,,,,,,,,,,,,,
"Blogs,College/University,Company internal community,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,Very useful,Very useful,Somewhat useful,Not Useful,Somewhat useful,,,Very useful,Very useful,Somewhat useful,,Somewhat useful,,,,Somewhat useful
"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,Very useful,Not Useful,,Very useful,Somewhat useful,,,Very useful
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A",,,Somewhat useful,,,,Very useful,,,,,Somewhat useful,,Very useful,,,,
"Official documentation,Online courses,Personal Projects,YouTube Videos",,,,,,,,,,Somewhat useful,Somewhat useful,Very useful,,,,,,Very useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Non-Kaggle online communities,Online courses,Personal Projects",,,,,,,Very useful,,Very useful,,Very useful,Very useful,,,,,,
"Blogs,College/University,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring",,Very useful,Somewhat useful,,,Somewhat useful,Very useful,,Very useful,Somewhat useful,Somewhat useful,Very useful,,Very useful,Somewhat useful,,Very useful,
"Blogs,Kaggle,Personal Projects,Trade book,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,,Very useful
"College/University,Online courses",,,Somewhat useful,,,,,,,,Very useful,,,,,,,
"Blogs,Kaggle,Newsletters,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,,Very useful
Other,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Friends network,Newsletters,Official documentation,Personal Projects,Podcasts,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,Somewhat useful,Somewhat useful,,Somewhat useful,,Very useful,,Very useful,Very useful,Very useful,,,Somewhat useful,Somewhat useful
"Friends network,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,Very useful,Somewhat useful,,,,Very useful,,,Very useful,,,,Somewhat useful
"Blogs,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,,,,,,Very useful,Somewhat useful,,,Very useful,Somewhat useful,,,Very useful
"Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,,,,,Very useful,Very useful,,Very useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,YouTube Videos",,,Very useful,,,,Very useful,,,,,,,,,,,Very useful
"Arxiv,Kaggle,Newsletters,Non-Kaggle online communities,YouTube Videos",Somewhat useful,,,,,,Somewhat useful,Very useful,Very useful,,,,,,,,,Very useful
"Blogs,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,,,,,,Very useful,,Very useful,,,Somewhat useful,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Conferences",Very useful,,,,Very useful,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,Very useful,Very useful,,,Somewhat useful
"Blogs,College/University,Podcasts,Trade book",,Somewhat useful,Somewhat useful,,,,,,,,,,Somewhat useful,,,Somewhat useful,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Non-Kaggle online communities,Online courses,Stack Overflow Q&A",,Somewhat useful,Somewhat useful,,,,,,Somewhat useful,,Very useful,,,Very useful,,,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,Very useful,,,,Somewhat useful
"Arxiv,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Somewhat useful,,,,,,Somewhat useful,,,Very useful,Very useful,,,Very useful,Very useful,,Very useful,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Textbook",,,,,,,Very useful,,,,Very useful,Very useful,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Conferences,Non-Kaggle online communities,Textbook,YouTube Videos",,,,,Very useful,,,,Very useful,,,,,,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,,,,,Very useful,,,,,,,Very useful,Somewhat useful,,,Somewhat useful
"Blogs,Personal Projects,Stack Overflow Q&A",,Very useful,,,,,,,,,,Very useful,,Very useful,,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,,Somewhat useful,,,Somewhat useful,Very useful,,,,,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Newsletters,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,Somewhat useful,,,,Very useful,,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,Very useful,,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Online courses,YouTube Videos",,,Somewhat useful,,,,,,,,Very useful,,,,,,,Somewhat useful
"College/University,Kaggle,Tutoring/mentoring,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,,,,,,Somewhat useful,Very useful
Textbook,,,,,,,,,,,,,,,Somewhat useful,,,
"College/University,Kaggle,Trade book",,,Very useful,,,,Very useful,,,,,,,,,Somewhat useful,,
,,,,,,,,,,,,,,,,,,
"Non-Kaggle online communities,Textbook",,,,,,,,,Very useful,,,,,,Very useful,,,
"Arxiv,Blogs,Conferences,Kaggle,Online courses,Personal Projects,Podcasts,YouTube Videos",Very useful,Somewhat useful,,,Very useful,,Very useful,,,,Very useful,Very useful,Somewhat useful,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Trade book",Very useful,Very useful,Very useful,,Very useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Very useful,Very useful,,Somewhat useful,,Somewhat useful,,
"Blogs,Kaggle,Newsletters,Online courses,Textbook,YouTube Videos",,Very useful,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful,,,,Very useful,,,Very useful
"Blogs,Kaggle,Online courses,Personal Projects",,Very useful,,,,,Very useful,,,,Very useful,Very useful,,,,,,
"College/University,Kaggle,Online courses,Stack Overflow Q&A",,,Somewhat useful,,,,Very useful,,,,Somewhat useful,,,Very useful,,,,
"Kaggle,Personal Projects",,,,,,,Very useful,,,,,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Newsletters,Online courses,Podcasts",,,,,,,Very useful,Very useful,,,Very useful,,Very useful,,,,,
"Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Very useful,Very useful,,,Very useful,,,,Very useful
"College/University,Official documentation,Stack Overflow Q&A",,,Somewhat useful,,,,,,,Very useful,,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
